id,name,popularity,preview_url,link,duration_ms,album_id,album_name,release_date,album_img_64,album_img_300,artist_id,artist_name,followers,genre,artist_popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year
2uEJanMvnA1dXgX1ASnPQm,One Call Away,60,https://p.scdn.co/mp3-preview/95bc5ea2a087ded73953f6da3fce4b1d3dea72db?cid=db980949895b411e9b9174156754fdd3,https://open.spotify.com/track/2uEJanMvnA1dXgX1ASnPQm,192075,2xxwxdvN2zjplMH7gsy2QM,One Call Away,2015-08-21,https://i.scdn.co/image/ab67616d00004851c3fade2af1c66ea4b002ae18,https://i.scdn.co/image/ab67616d00001e02c3fade2af1c66ea4b002ae18,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,11915361,dance pop,81,0.665,0.62,1,-5.43,0.035,0.417,0,0.113,0.451,91.008,2015
6O5TrlFWTYvznd9fMC0VvU,When We Were Young,68,https://p.scdn.co/mp3-preview/cdae0d3cbad11c0984b37ce4ceac142a996ba5bf?cid=db980949895b411e9b9174156754fdd3,https://open.spotify.com/track/6O5TrlFWTYvznd9fMC0VvU,290900,6TVfiWmo8KtflUAmkK9gGF,25,2015-11-20,https://i.scdn.co/image/ab67616d00004851856b7a3e75db11219d0a8a5f,https://i.scdn.co/image/ab67616d00001e02856b7a3e75db11219d0a8a5f,4dpARuHxo51G3z768sgnrY,Adele,24492808,british soul,83,0.372,0.566,3,-6.779,0.0519,0.322,0,0.0953,0.28,146.399,2015
0XDjtRaCmupZbkvvmtFIBB,Start A Riot,55,,https://open.spotify.com/track/0XDjtRaCmupZbkvvmtFIBB,215333,2udv3G6saR7mLvp20Sfvcw,Start A Riot,2015-12-04,https://i.scdn.co/image/ab67616d000048514b4d03b2ca0e2e6d752ef147,https://i.scdn.co/image/ab67616d00001e024b4d03b2ca0e2e6d752ef147,4qWnlmXWuGv2TtuxtIWlJX,BANNERS,335756,indie poptimism,73,0.535,0.728,10,-4.008,0.033,0.0135,0,0.133,0.376,144.022,2015
1dl3vuXJS9anUXE7XnNP75,Get Ugly,64,https://p.scdn.co/mp3-preview/8ab11d3d98e01500a849f8713eabb6af766bdbf4?cid=db980949895b411e9b9174156754fdd3,https://open.spotify.com/track/1dl3vuXJS9anUXE7XnNP75,200492,59eUYETmE1zi31ESb3SUkI,Everything Is 4,2015-05-29,https://i.scdn.co/image/ab67616d00004851519241bcfc352fc3eaaac5db,https://i.scdn.co/image/ab67616d00001e02519241bcfc352fc3eaaac5db,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,8546194,dance pop,87,0.75,0.683,9,-4.829,0.12,0.0462,1.32e-06,0.297,0.539,111.066,2015
33QRsLBBdWDYgCZfWEZqR6,The Fix (feat. Jeremih),65,https://p.scdn.co/mp3-preview/1135cb6057274fa975dc024627066e46dcbfa4fc?cid=db980949895b411e9b9174156754fdd3,https://open.spotify.com/track/33QRsLBBdWDYgCZfWEZqR6,173045,3QyJvpZppP2jNp5yPYRPGJ,The Fix (feat. Jeremih),2015-08-14,https://i.scdn.co/image/ab67616d000048510df38a13ec2b23e0340ff374,https://i.scdn.co/image/ab67616d00001e020df38a13ec2b23e0340ff374,2gBjLmx6zQnFGQJCAQpRgw,Nelly,1658833,dance pop,77,0.812,0.479,8,-6.47,0.0429,0.0485,0,0.102,0.0873,95.505,2015
2xSExwwFXzukzOdR6iVYMk,Boys Like You,53,,https://open.spotify.com/track/2xSExwwFXzukzOdR6iVYMk,194533,23O8NRd6IvGYh0vutNEHtT,Boys Like You,2015-11-23,https://i.scdn.co/image/ab67616d000048515b32724234f6d6669a32f074,https://i.scdn.co/image/ab67616d00001e025b32724234f6d6669a32f074,5QSx2vpiSchSeCwc0qmfNI,Who Is Fancy,37507,None,42,0.739,0.597,0,-5.335,0.0801,0.0997,0,0.119,0.787,104.991,2015
6Xs7OKt6i0Ddq8B4M5Dgvr,New Americana,68,,https://open.spotify.com/track/6Xs7OKt6i0Ddq8B4M5Dgvr,183808,5U5rt98q8Jqx4lP3RdqYfO,BADLANDS,2015-08-28,https://i.scdn.co/image/ab67616d00004851bd02d63417be256b22bffc28,https://i.scdn.co/image/ab67616d00001e02bd02d63417be256b22bffc28,26VFTg2z8YR0cCuwLzESi2,Halsey,12990093,dance pop,88,0.339,0.707,0,-5.121,0.0428,0.0113,0,0.337,0.359,173.993,2015
36phXHOKx8rO7CMp2vNX4x,Love Myself,72,,https://open.spotify.com/track/36phXHOKx8rO7CMp2vNX4x,218773,1ABRc0UFHY3x6rKQeFBTQ0,HAIZ,2016-02-26,https://i.scdn.co/image/ab67616d00004851a923f5d2fed06c911c788306,https://i.scdn.co/image/ab67616d00001e02a923f5d2fed06c911c788306,5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,6324193,dance pop,77,0.617,0.759,0,-6.785,0.0678,0.0026,0,0.419,0.324,122.924,2016
25KybV9BOUlvcnv7nN3Pyo,In The Night,72,,https://open.spotify.com/track/25KybV9BOUlvcnv7nN3Pyo,235653,0P3oVJBFOv3TDXlYRhGL7s,Beauty Behind The Madness,2015-08-28,https://i.scdn.co/image/ab67616d000048517fcead687e99583072cc217b,https://i.scdn.co/image/ab67616d00001e027fcead687e99583072cc217b,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,26575388,canadian contemporary r&b,94,0.505,0.68,7,-4.993,0.0714,0.0796,0,0.0465,0.539,168.022,2015
0j2O6RH0weEh6i3YFBqfuo,Dirty Mind (feat. Sam Martin),48,https://p.scdn.co/mp3-preview/50fd57001d4aae88132b4a056274f7202298ce98?cid=db980949895b411e9b9174156754fdd3,https://open.spotify.com/track/0j2O6RH0weEh6i3YFBqfuo,183993,5TwtXfRDFEqmmmwMTsavLp,Dirty Mind (feat. Sam Martin),2015-12-04,https://i.scdn.co/image/ab67616d0000485127e8dcc76620ac1b6e07c856,https://i.scdn.co/image/ab67616d00001e0227e8dcc76620ac1b6e07c856,0jnsk9HBra6NMjO2oANoPY,Flo Rida,7830306,dance pop,80,0.766,0.74,5,-4.706,0.092,0.0565,1.49e-05,0.287,0.744,115.071,2015
